period,obs,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,A_obs,W_obs,E_obs,N_obs,A_unc,W_unc,E_unc,N_unc
7,35,1.2465753424657535,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,415.5,32.409,93.072,290.019,33.239999999999995,8.309999999999999,16.619999999999997,33.239999999999995
7,36,2,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,380.424,29.081999999999997,85.67399999999999,290.82,31.439999999999998,7.859999999999999,15.719999999999999,31.439999999999998
7,37,2.26027397260274,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,355.68,25.194,76.323,283.803,29.64,7.41,14.82,29.64
7,38,3,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,312.62399999999997,24.715999999999998,66.13199999999999,264.52799999999996,26.72,6.68,13.36,26.72
10,53,0.2493150684931507,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,503.90799999999996,51.732,101.548,300.812,38.32,9.58,19.16,38.32
10,54,0.9945205479452055,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,475.52399999999994,35.802,100.97999999999999,305.69399999999996,36.72,9.18,18.36,36.72
10,55,1.263013698630137,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,423.65100000000007,30.564000000000004,89.99400000000001,304.79100000000005,33.96,8.49,16.98,33.96
10,56,2.0027397260273974,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,380.966,29.489,86.07600000000001,300.469,31.880000000000003,7.970000000000001,15.940000000000001,31.880000000000003
10,57,2.2575342465753425,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,353.40000000000003,26.784000000000002,76.632,287.184,29.760000000000005,7.440000000000001,14.880000000000003,29.760000000000005
11,60,0.7452054794520548,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,485.36600000000004,44.039,97.44800000000001,310.147,37.480000000000004,9.370000000000001,18.740000000000002,37.480000000000004
11,61,1.0136986301369864,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,438.984,37.453,89.713,304.85,34.84,8.71,17.42,34.84
11,62,1.7534246575342465,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,396.396,33.579,87.63300000000001,301.392,32.760000000000005,8.190000000000001,16.380000000000003,32.760000000000005
11,63,2.0082191780821916,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,514,82,116,288,0,0,0,0,0,0,0,358.904,35.438,77.662,281.996,30.16,7.54,15.08,30.16
12,67,0.26575342465753427,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,483,182,94,241,0,0,0,0,0,0,0,470.98400000000004,48.816,89.49600000000001,294.704,36.160000000000004,9.040000000000001,18.080000000000002,36.160000000000004
12,68,1.0054794520547945,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,483,182,94,241,0,0,0,0,0,0,0,413.66400000000004,38.364000000000004,80.89800000000001,301.074,33.36,8.34,16.68,33.36
12,69,1.2602739726027397,-15.3,-13.3,-6.9,0,6.7,12.8,14.9,12.5,6.9,0.8,-7.6,-12.6,617,483,182,94,241,0,0,0,0,0,0,0,413.69599999999997,35.552,71.104,287.64799999999997,32.32,8.08,16.16,32.32
17,89,0.7863013698630137,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,492,164,113,231,0,0,0,0,0,0,0,468.71999999999997,51.211999999999996,85.064,263.004,34.72,8.68,17.36,34.72
17,90,1.0191780821917809,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,492,164,113,231,0,0,0,0,0,0,0,394.12800000000004,50.048,75.072,262.752,31.28,7.82,15.64,31.28
17,91,1.7698630136986302,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,492,164,113,231,0,0,0,0,0,0,0,345.50399999999996,36.815999999999995,71.508,254.172,28.32,7.08,14.16,28.32
17,92,2.0164383561643837,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,492,164,113,231,0,0,0,0,0,0,0,303.372,43.884,64.236,224.508,25.44,6.36,12.72,25.44
18,94,0.2328767123287671,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,450.696,59.92400000000001,84.4,248.98000000000002,33.760000000000005,8.440000000000001,16.880000000000003,33.760000000000005
18,95,0.9835616438356164,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,382.228,56.1,74.8,234.87199999999999,29.92,7.48,14.96,29.92
18,96,1.2301369863013698,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,333.60599999999994,52.63999999999999,71.722,200.03199999999998,26.319999999999997,6.579999999999999,13.159999999999998,26.319999999999997
18,97,1.978082191780822,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,276.575,44.849999999999994,64.975,188.6,23,5.75,11.5,23
18,98,2.23013698630137,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,243.36,31.941,56.784,174.915,20.28,5.07,10.14,20.28
18,99,2.9753424657534246,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,481,178,112,229,0,0,0,0,0,0,0,207.87199999999999,29.232,53.824,173.07199999999997,18.56,4.64,9.28,18.56
20,106,0.25205479452054796,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,475.648,46.45,102.19000000000001,304.712,37.160000000000004,9.290000000000001,18.580000000000002,37.160000000000004
20,107,0.9945205479452055,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,410.896,47.99400000000001,88.41000000000001,294.70000000000005,33.68000000000001,8.420000000000002,16.840000000000003,33.68000000000001
20,108,1.2465753424657535,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,373.968,41.552,84.672,283.808,31.36,7.84,15.68,31.36
20,109,1.9917808219178081,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,337.48400000000004,42.540000000000006,73.027,255.94900000000004,28.360000000000003,7.090000000000001,14.180000000000001,28.360000000000003
20,110,2.2575342465753425,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,295,35,66.875,228.125,25,6.25,12.5,25
20,111,3,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,514,82,116,288,0,0,0,0,0,0,0,268.096,32.943999999999996,56.8,210.15999999999997,22.72,5.68,11.36,22.72
28,149,1.010958904109589,-14,-12.8,-7.6,-1.1,5.4,11.4,14.1,11.6,6,-0.1,-7,-11.3,604,483,164,96,257,0,0,0,0,0,0,0,390.05999999999995,46.492,73.28399999999999,278.164,31.519999999999996,7.879999999999999,15.759999999999998,31.519999999999996
