sample_ID,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl,OC,CaCO3,N,P,K,CEC,GPS_LAT,GPS_LONG,MAT,RAIN,Ndep_WD_tx,EROS,WT,LU,s_c_prc,OC_pom_g_kg,OC_sc_g_kg,OC_tf,N_tf,N_pom_g_kg,N_sc_g_kg
6430,28482290,7,9,18,73,5.92,5.07,18.6,0.5,1.5,52.6,110.6,8.3,42.12506,-7.94286,12.2002047,1584.562349,4.730000019,4.643388264,-30.84321714,CR,30.332,4.193,14.174,18.368,1.828,0.327,1.501
5208,29862388,20,12,63,25,5.34,4.58,52.3,2,4.4,10.6,149.1,10.3,43.26765,-6.55077,10.897904,1151.948307,6.730000019,3.078449076,-31.19221202,GR,63.74,13.446,35.79,49.236,5.132,1.198,3.935
24208,32562340,32,20,63,18,4.77,4.38,46.5,0.5,3.3,11,233.3,13.4,43.32423,-3.17138,13.17143679,1171.545625,11.17000008,1.100349468,-74.99435683,FR,86.38,15.386,30.682,46.069,3.862,0.792,3.07
5802,33062268,4,18,21,60,6.83,6.48,21.4,1,1.9,5,211.6,15.5,42.76154,-2.42584,10.48613994,791.8736055,10.11999989,1.925953814,-37.18992424,GR,39.585,5.544,15.747,21.291,2.164,0.386,1.778
5789,33642286,3,34,64,3,6.36,5.17,47.7,0.5,3.5,46.4,435.9,17,43.00564,-1.75774,11.19176906,1073.289859,12.28999996,3.629182612,-37.91750458,GR,90.863,12.56,33.674,46.234,3.879,0.685,3.194
5760,33622266,27,41,43,16,7.94,7.44,10,45,1.5,15.6,135.6,26.9,42.82475,-1.74628,12.46662536,857.3217518,7.920000076,3.52337537,-8.083518067,CR,86.361,2.141,12.202,14.343,1.502,0.091,1.41
5716,33602196,6,30,59,11,8.33,7.54,12.4,325,1.6,32.4,176.9,15.3,42.19838,-1.64748,14.04345814,450.7668656,6.309999943,1.512609212,-9.194341703,F40,89.993,1.582,6.164,7.745,1.639,0.131,1.508
5765,33582234,16,33,57,10,7.79,7.22,30.3,413,2.4,5,373.2,16.4,42.53415,-1.73783,12.85008798,603.6166776,7.920000076,3.265003971,-29.93401906,SHR,87.642,10.537,14.554,25.092,2.112,0.594,1.518
5718,33562196,2,26,69,5,8.3,7.6,13.3,322,1.6,41.9,391.5,14.4,42.19279,-1.69531,14.08339086,442.0327797,6.309999943,0.829717221,-2.990756308,CR,96.11,3.936,7.509,11.445,1.62,0.139,1.481
5723,33222206,28,11,26,64,8.6,7.45,6.5,104,0.5,5,67.7,8.8,42.23349,-2.11962,11.88930549,466.2128836,6.71999979,5.702216155,-58.69204305,CR,39.245,1.554,2.129,3.684,0.342,0.009,0.333
5727,32582246,3,31,60,9,8.16,7.57,7.5,460,1,5,246.3,12.2,42.49322,-2.961,11.7269035,551.7820548,6.420000076,3.763501925,-9.126246108,CR,92.398,1.008,10.842,11.85,0.995,0.076,0.919
5559,34662130,34,24,38,38,7.83,7.24,34.8,478,2.7,48.1,286.7,17.7,41.74793,-0.27608,14.44918302,425.4910529,7.429999828,1.1869695,-28.52018902,CR,63.279,10.151,21.903,32.055,2.922,0.65,2.272
5471,34642160,5,16,49,35,7.9,7.2,9.2,306,1.2,5,128.1,5.9,42.01364,-0.34557,14.15073483,498.8439824,8.050000191,5.539573529,-45.33615175,GR,64.747,2.722,6.494,9.215,1.178,0.301,0.877
5546,34462116,7,32,62,6,7.58,7.52,16.6,330,1.5,5,160.4,7.9,41.59794,-0.49236,14.83878669,384.9695313,7.429999828,2.80143989,-20.68896448,CR,93.851,3.974,14.227,18.201,1.641,0.198,1.443
5572,33962088,32,29,34,37,7.8,7.04,8.5,1,1,15.5,194.4,13.2,41.28349,-1.03998,12.49879494,399.4864565,6.480000019,4.623443361,-49.48259153,CR,63.521,1.472,6.651,8.123,0.96,0.097,0.863
5709,32442260,2,52,44,4,8.08,7.43,24.7,67,2.3,49.8,896.9,35.8,42.59564,-3.15646,10.90588547,643.5352617,5.829999924,1.657902037,-36.37588894,CR,99.402,3.062,31.048,34.109,2.812,0.207,2.605
6243,31802268,7,47,47,6,8.32,7.48,10.5,607,1,14.5,243.8,19.7,42.56294,-3.94056,10.7964986,589.8732422,5.579999924,4.998457971,-33.20881481,CR,96.152,6.097,9.528,15.626,0.862,0.076,0.787
6158,31382252,26,8,18,74,7.92,7.65,13.6,4,1.9,78.8,1089.1,7.2,42.350208,-4.408936,11.40013776,472.638744,4.610000134,2.571769424,-26.82638593,CR,27.075,4.838,6.964,11.802,1.347,0.451,0.895
4802,31202176,11,41,46,13,8.09,7.51,14.9,574,1.2,12.4,305.9,13.9,41.646722,-4.460467,11.76594751,413.9429142,4.789999962,5.606207868,-35.67558473,CR,89.651,1.531,10.319,11.85,1.287,0.096,1.191
6097,31062252,10,10,19,71,6.45,6.35,4.8,1,0.7,19.5,77.7,5.7,42.294433,-4.790491,11.42045253,484.9561144,4.789999962,0.748171962,-21.26217101,CR,30.568,1.753,3.338,5.091,0.603,0.118,0.485
6149,30822300,11,14,34,53,5.99,4.95,15.6,0.5,1.4,5,59.7,3,42.675287,-5.18493,10.38992204,587.998367,4.170000076,0.252508468,-5.220797173,FR,44.864,5.445,8.587,14.032,1.284,0.372,0.912
4724,30682044,28,4,15,81,7.08,6.47,11.1,1,1,12,152.6,6.2,40.38758,-4.79022,11.70949311,393.4286985,5.340000153,4.316962197,-29.62653941,SHR,20.125,5.18,7.261,12.441,0.981,0.348,0.633
5926,30582222,7,13,31,56,7.69,7.1,9.2,5,0.9,17.4,153.7,7.4,41.94337,-5.29365,12.13577541,499.6439725,4.309999943,1.776044077,-30.84201492,CR,43.846,2.373,5.525,7.897,0.829,0.134,0.696
5038,30042244,18,23,42,35,7.09,6.49,6.7,3,0.8,5,93.1,9.9,42.03664,-5.98356,12.11609815,720.9103116,3.74000001,0.855110702,-31.26265068,CR,62.173,1.272,6.199,7.472,0.814,0,0.814
4373,32901910,13,38,40,22,8.13,7.49,9.6,240,1.1,14.8,421.5,26.3,39.54837,-1.98269,13.62011658,432.7823195,4.579999924,1.484492504,-36.33369943,CR,74.108,2.183,6.735,8.917,1.325,0.187,1.138
4595,32542000,19,29,54,18,8.14,7.52,13.9,279,1.4,18.8,450.5,28.7,40.29886,-2.55189,13.18308764,471.4832057,4.630000114,3.936661956,-26.08063842,CR,82.524,0.457,12.995,13.452,1.515,0.175,1.34
24010,32382082,34,12,31,57,6.98,6.44,36.1,3,1.8,5,169.6,13.6,41.00472,-2.88685,12.12833252,423.262463,4.460000038,6.014196121,-23.36159545,SHR,42.036,22.965,15.768,38.733,2.214,0.942,1.272
4632,32381944,18,31,38,31,8.11,7.52,19.4,455,1.6,27.5,540.8,18,39.77579,-2.63782,13.62371442,460.2667439,4.099999905,5.482469143,-20.70474936,CR,63.379,11.828,9.36,21.188,1.393,0.229,1.165
24065,32262048,26,28,51,21,8.11,7.49,11.2,370,1.3,18.3,211.5,21.2,40.68377,-2.9641,11.98770691,440.1850769,5.050000191,4.021600449,-66.64133024,CR,81.058,2.188,9.985,12.173,1.056,0.101,0.956
24054,32102064,11,12,38,50,6.65,5.87,4.8,3,0.7,40.6,161.8,6.1,40.80122,-3.18052,12.94806467,387.7412077,5.059999943,5.858401712,-40.63364935,CR,46.63,1.633,3.413,5.046,0.639,0.167,0.472
24002,32002068,24,22,42,36,5.56,4.95,8.4,1,1.1,32.3,229.2,7.8,40.821,-3.30481,12.09810855,387.5327319,5.059999943,2.088557859,-47.22101792,A22,61.294,1.137,6.083,7.22,0.887,0.071,0.816
4547,30761988,16,28,31,41,8.14,7.29,9.1,20,1.1,5,298.1,22.7,39.90529,-4.58263,15.42178761,337.4799506,4.75,2.668376712,-30.29046847,GR,57.068,2.095,8.655,10.75,1.209,0.124,1.085
3995,29281846,13,47,32,21,7.9,7.4,10.3,35,1.2,13.2,380.1,41.7,38.3798,-5.9645,15.55966041,649.3494787,4.230000019,1.876332622,-47.21512454,CR,80.014,1.091,11.242,12.333,1.38,0.077,1.303
4583,28722000,44,10,54,36,6.32,5.31,19,4,2,13.8,98.4,8.3,39.63006,-6.94127,16.20601821,631.1679473,4.409999847,0.644675163,-20.93294997,GR,64.602,9.037,10.02,19.057,2.262,0.861,1.401
4307,34281900,10,16,64,20,8.37,7.51,19.8,113,1.6,5,380.9,23.2,39.6421,-0.38163,16.61058358,426.7494124,8.829999924,1.406260948,-30.83874007,CR,76.003,3.543,13.875,17.418,1.758,0.279,1.479
3781,31621746,3,36,52,13,7.88,7.38,9.9,448,1.1,5,442.7,19.8,37.89355,-3.15307,16.37593877,375.1307563,4.449999809,11.42162272,-35.8001075,CR,89.796,2.359,7.758,10.117,1.142,0.16,0.981
3694,30981674,22,19,41,40,7.84,7.41,19.3,334,1.3,18.1,206.3,12.5,37.14947,-3.73749,16.00924359,400.099944,3.440000057,12.47589407,-31.87222838,CR,52.035,4.375,9.535,13.91,1.276,0.363,0.912
3757,30941754,9,53,36,11,8.39,7.58,3.6,384,0.7,5,517.2,27.5,37.85609,-3.92651,16.93488049,450.87228,5.019999981,22.15428037,-44.28812039,CR,90.781,0.545,6.778,7.322,0.74,0.046,0.694
3661,30241660,12,37,23,40,7.13,6.79,16.2,2,2,137.2,587.9,21.2,36.90142,-4.52744,16.38574673,591.5932705,4.909999847,12.5660134,-28.04727676,CR,57.69,3.502,12.409,15.911,2.033,0.361,1.672
3853,29981716,39,57,37,6,8.19,7.4,9.7,278,1.1,5,548.1,44.2,37.35452,-4.92078,17.28215078,567.2358545,5,6.653852654,-24.77099152,CR,94.806,2.636,11.056,13.692,0.995,0.051,0.944
3950,29761754,19,35,27,39,7.94,7.32,10.9,64,1.2,17.2,486.3,22,37.65293,-5.23936,17.54579051,540.4224875,5.940000057,3.571959578,-38.87104561,CR,61.014,5.51,8.727,14.237,1.32,0.299,1.021
3900,29501736,0,56,35,9,8.35,7.5,9.8,97,1.2,13.7,40.9,38.2,37.44606,-5.49121,17.71779697,553.0821489,5,2.558845483,-4.197641315,CR,92.438,1.12,8.637,9.757,1.656,0.228,1.427
3930,29181758,9,57,38,4,7.94,7.35,12.6,200,1.4,10.7,777.4,27.6,37.5819,-5.89044,17.90105383,521.6657113,5.099999905,2.389102058,-7.305854638,CR,96.434,1.848,10.588,12.436,1.479,0.041,1.438
3871,28981714,1,56,39,5,7.92,7.85,15.6,252,1.6,56.8,753,22,37.15503,-6.01948,17.8754137,540.574703,5.269999981,1.044268791,-5.68E-14,CR,94.975,1.715,12.795,14.51,1.596,0.129,1.466
3647,28741666,16,43,36,20,7.67,7.24,20.6,215,1.6,19.6,850.3,28.5,36.68343,-6.18363,17.86956399,563.1362489,5.210000038,8.852400099,-9.785959619,CR,78.472,2.02,42.033,44.053,6.407,0.302,6.105
7368,53604556,2,3,33,64,5.09,4.17,27.1,0.5,1.1,5,34,1,62.72349,30.56561,2.056421332,672.8907751,3.579999924,0.003038066,-12.28578316,SHR,34.995,3.682,9.718,13.4,0.813,0.186,0.627
7701,53384478,3,4,34,62,4.42,3.88,30.8,0.5,1.7,11.9,30.7,5.4,62.1106,29.70322,3.030579247,591.9660412,3.420000076,0.000640664,-4.151679441,FR,38.716,9.698,15.521,25.219,1.622,0.502,1.12
7713,53164616,3,2,26,72,5.39,4.55,15.8,0.5,0.8,5,34.2,3.5,63.35118,30.09801,1.849570171,625.3711399,3.099999905,0.002850588,-26.11978539,FR,29.225,4.59,7.338,11.929,0.619,0.235,0.384
7306,52984544,3,5,7,88,4.63,4.1,30.2,0.5,2.1,30.2,100.1,5.1,62.77737,29.33438,2.579825482,622.4084838,3.430000067,0.160641771,-5.68E-14,FR,13.378,11.143,16.882,28.026,2.181,0.976,1.204
8097,52664748,10,5,25,70,5.04,4.24,39.4,0.5,1.8,29.4,27.3,5,64.61197,29.9423,0.585647884,601.5193563,2.019999981,0.004781983,-14.08133737,FR,27.457,22.849,19.731,42.58,1.867,0.968,0.899
7627,52444508,33,5,17,77,4.81,3.97,53.5,0.5,3,25.3,65.4,7.4,62.59477,28.12273,3.068875424,620.7388401,3.309999943,0.027965166,-12.46606199,FR,18.348,28.608,17.029,45.636,2.754,1.604,1.15
8122,51484702,11,3,16,81,4.44,3.55,26.1,1,0.7,19.9,35,5.2,64.49519,27.30969,1.694507365,590.1720915,2.609999895,0.000558349,-8.930781673,FR,15.768,10.579,5.591,16.17,0.536,0.336,0.2
7900,51484622,28,28,64,8,4.72,3.77,44.6,1,2,68.2,86.8,11.4,63.79885,26.88131,2.147428807,602.7601415,3.099999905,0.34591477,-15.00225881,CR,90.675,22.504,19.849,42.353,2.206,0.586,1.619
7917,51324680,2,33,56,11,5.35,3.76,3.1,0.5,0.3,34.6,153.8,13.2,64.3387,26.87026,1.963528433,575.983854,2.609999895,0.000707915,-2.749599078,FR,87.695,0.56,2.044,2.605,0.387,0.045,0.343
7079,53424390,2,3,8,89,5.03,4.08,19.9,0.5,0.9,40.3,45.3,3.9,61.34378,29.29207,3.600052233,631.5121145,4.019999981,0.175805623,-8.023174081,FR,13.656,7.445,12.054,19.499,0.917,0.359,0.559
6760,51884268,23,51,40,9,6.12,5.19,29.1,1,2.2,57.6,306,15.8,60.62921,25.95274,4.370942395,657.401685,5.190000057,0.025399954,-5.732778991,CR,92.589,5.996,22.231,28.227,2.507,0.271,2.236
43026,51084210,5,43,53,4,5.72,4.76,19.3,0.5,1.8,5,116.2,11,60.27251,24.29568,4.784819103,665.6259073,4.820000172,0.279551415,-19.47057159,CR,98.234,2.437,17.132,19.569,1.878,0.146,1.732
7218,51024304,4,26,67,8,6.06,5.57,23.2,0.5,1.9,20,341.9,12.4,61.1086,24.55586,3.902912382,595.1088116,4.489999771,0.10185794,-2.800951029,CR,93.702,3.581,18.656,22.237,1.955,0.162,1.793
7252,50924292,7,10,39,51,4.14,3.84,110.8,1,7.6,52.4,151.8,15.7,61.02187,24.32807,4.124299481,593.3898554,4.489999771,0.155867137,-23.10819165,FR,33.644,72.667,37.816,110.483,8.864,5.709,3.155
6565,50664204,7,36,49,15,5.76,4.99,32.1,1,2.5,98,216,16.4,60.29353,23.53,4.748638965,708.4011858,6.139999866,1.184344427,-15.2071324,CR,86.633,5.758,25.409,31.168,2.723,0.352,2.371
6530,49784208,2,63,29,8,5.84,4.89,36.5,1,2.6,17.2,319.7,19.5,60.47084,21.97681,5.316910601,650.8201161,5.880000114,0.459067043,-11.5142288,FR,91.645,7.91,24.79,32.7,3.278,0.396,2.882
6547,49504222,23,28,30,42,6.84,6.25,12.7,0.5,1,42.7,125.9,13.4,60.63616,21.51993,5.093474967,614.0617345,5.75,0.048633495,-4.99494953,CR,58.018,2.039,10.345,12.384,1.308,0.131,1.178
7525,50544516,5,7,88,5,6.44,5.96,37.4,1,2.2,47.3,114.7,11,63.05977,24.54746,2.561910765,596.5243811,3.640000105,0.147439534,-1.779166446,CR,92.33,7.707,27.265,34.972,2.049,0.424,1.625
