InFileType,in_Wth,X.Do.not.change.this.input.file.type.name.,X,X.1,X.2
VersionNum,1.01,#Do not change this version number. There should be NO comma wthin any string (no comma in any cell if you open this file with a spreadsheet software),,,
#comments,,,,,
Year,DOY,Tmax,Tmin,Precip,NPP
2009,269,17.57,5.88,0,1.24585422131823
2009,270,21.1,6.56,0,1.21169646660108
2009,271,19.52,7.5,0,1.17800392387064
2009,272,18.01,9.17,0,1.14479023137575
2009,273,17.39,10.93,0,1.11206807911894
2009,274,18.14,8.29,0,1.0798492155782
2009,275,14.99,9.39,0.26,1.04814445609345
2009,276,16.2,6.74,0,1.01696369285032
2009,277,19.46,3.41,0,0.986315906391377
2009,278,18.4,4.47,0,0.95620917858278
2009,279,22.21,9.23,0,0.92665070696237
2009,280,24.88,12.28,0,0.897646820393736
2009,281,22.77,9.09,1.18,0.869202995949388
2009,282,15.51,9.86,0.61,0.841323876945184
2009,283,15.17,8.52,1.17,0.814013292047403
2009,284,12.64,8.62,0.82,0.78727427537338
2009,285,10.27,4.35,2.32,0.761109087506386
2009,286,5.05,0.73,1.26,0.735519237345492
2009,287,1.94,-1.26,0.68,0.710505504711464
2009,288,0.99,-0.84,0,0.686067963630205
2009,289,4.14,-0.14,1.28,0.662206006216094
2009,290,3.16,0.68,1.32,0.63891836707848
2009,291,3.97,0.1,0.4,0.616203148175823
2009,292,3.11,0.08,0,0.594057844043323
2009,293,7.07,-2.49,0,0.57247936732146
2009,294,8.66,-3.97,0,0.551464074514601
2009,295,10.62,-0.65,0.31,0.53100779191073
2009,296,12.01,3.75,0.6,0.511105841595404
2009,297,8.2,5.89,0,0.491753067495227
2009,298,13.19,2.38,0,0.472943861388436
2009,299,11.12,2.58,0.2,0.454672188822595
2009,300,9.91,5.56,0,0.436931614881947
2009,301,11.73,1.74,0,0.419715329749528
2009,302,9.92,2.46,0.45,0.403016174011853
2009,303,7.26,1.54,0,0.386826663656687
2009,304,5.76,-1.01,0,0.37113901471724
2009,305,7.24,-0.98,0,0.355945167518883
2009,306,6.42,-1.63,1.08,0.341236810487379
2009,307,3.97,2.46,0.58,0.327005403480453
2009,308,7.29,1.04,0.48,0.313242200607391
2009,309,8.56,0.13,0,0.299938272504219
2009,310,4.13,-1.39,0.41,0.28708452803484
2009,311,8.42,1.71,0,0.274671735391343
2009,312,4.19,0.94,0.36,0.262690542569437
2009,313,7.7,2.29,0,0.251131497197753
2009,314,4.4,2.22,0.23,0.239985065702382
2009,315,3.7,1.64,0,0.229241651790701
2009,316,7.57,0.09,0,0.218891614241059
2009,317,10.2,3.57,0,0.208925283987408
2009,318,9.09,0.72,0,0.199332980490376
2009,319,10.92,2.32,0,0.190105027388609
2009,320,10.38,3.12,0,0.181231767426469
2009,321,14.37,4.79,0,0.172703576656307
2009,322,13.47,3.91,0,0.164510877915625
2009,323,9.91,1.57,0,0.156644153581393
2009,324,9.95,-0.19,0,0.149093957605648
2009,325,8.73,0.03,0,0.141850926838292
2009,326,10.66,-1.19,0.21,0.134905791644657
2009,327,11.78,1.94,0.22,0.128249385826957
2009,328,12.23,2.28,0.7,0.121872655860241
2009,329,11.63,1.52,0,0.115766669454775
2009,330,6.11,-1.34,0,0.109922623458063
2009,331,6.13,-0.1,0.2,0.104331851110842
2009,332,7.68,-0.37,0,0.0989858286724602
2009,333,8.92,-1.91,0,0.0938761814319584
2009,334,16.31,3.98,0,0.0889946891220579
2009,335,10.47,1.72,0.47,0.0843332907539814
2009,336,4.7,-1.75,0,0.0798840888917066
2009,337,0.42,-4.85,0,0.0756393533848086
2009,338,0.13,-4.62,0,0.0715915245795265
2009,339,2.96,-2.06,0,0.0677332160280775
2009,340,3.38,-2.9,0,0.0640572167165503
2009,341,5.75,0,0,0.0605564928319339
2009,342,4.67,1.34,1.14,0.0572241890889919
2009,343,3.67,2.02,0,0.0540536296377703
2009,344,4.47,-1.72,1.22,0.0510383185725333
2009,345,5.9,0.92,1.09,0.0481719400628717
2009,346,0.78,-1.9,0.2,0.0454483581276042
2009,347,-2.13,-5.13,0,0.0428616160719252
2009,348,-4.84,-6.59,0,0.0404059356080166
2009,349,-4.17,-8.14,0,0.0380757156790681
2009,350,-4.54,-7.05,0,0.0358655310063225
2009,351,-5.77,-7.63,0,0.0337701303783974
2009,352,-5.77,-12.06,0,0.031784434701727
2009,353,-9.26,-15.43,0.38,0.0299035348305278
2009,354,-8.73,-15.93,0,0.0281226891942191
2009,355,-2.51,-16,0,0.026437321239728
2009,356,6.62,-7.11,0,0.0248430167055843
2009,357,10.6,-2.33,0.14,0.0233355207441634
2009,358,12.09,-0.22,0,0.0219107349078696
2009,359,15.68,2.46,1.18,0.0205647140144745
2009,360,4.13,-4.29,0,0.0192936629062305
2009,361,1.68,-6.07,0,0.0180939331167786
2009,362,4.04,-3.34,0,0.0169620194592632
2009,363,1.01,-7.7,0,0.01589455654845
2009,364,5.13,-0.75,0,0.014888315269033
2009,365,5.09,-0.2,0,0.0139401992017009
