obs,time,T_01,T_02,T_03,T_04,T_05,T_06,T_07,T_08,T_09,T_10,T_11,T_12,prec,A_init,W_init,E_init,N_init,H_init,A_in,W_in,E_in,N_in,H_in,size,c_obs,c_unc
449,4,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,8.85,773.2637160520198,250
421,3,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,21.55,717.8536960962865,250
757,13,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,11.95,643.4730115751682,250
1166,6,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,13.1,842.983052057998,250
1220,10,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,10,411.28724058863156,250
1126,3,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,8.1999999999999993,964.9901287664892,250
872,18,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,14.1,653.0146520359631,250
579,8,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,18.600000000000001,962.0022257322465,250
646,9,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,17.100000000000001,752.0001736372764,250
637,9,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,17.55,714.545326475181,250
381,1,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,13.4,900.241195949308,250
361,1,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,17.05,987.3294405301826,250
447,4,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,12.65,885.2549290811816,250
298,24,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,5.9,872.5050270017805,250
896,19,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,8.85,653.0806854361085,250
482,5,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,9,785.7373384709689,250
236,17,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,9.75,813.621144190616,250
270,19,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,9.0500000000000007,515.7011577709277,250
716,12,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,7.25,810.1186704401985,250
68,6,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,19.3,990.4712045495663,250
1119,3,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,13.8,483.1190343579959,250
34,3,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,26.95,888.1479656720543,250
967,22,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,11.45,586.3610538366988,250
1035,29,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,13.85,438.31384334472415,250
622,9,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,19,757.2519875847306,250
1196,7,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,10.25,366.2489547206562,250
1148,4,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,8.6,152.16166569784235,250
866,18,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,14.3,386.69762013420285,250
225,15,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,12.25,858.348425899008,250
141,8,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,10,747.3603588237495,250
797,15,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,10.35,644.3573515871066,250
1274,16,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,7,233.79317210671857,250
931,21,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,7.2,760.2013900673618,250
652,10,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,13.85,892.7512147039408,250
822,16,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,5.75,103.38518647994191,250
309,27,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,7.5,562.6257970071316,250
774,14,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,10.95,690.2309236712823,250
1044,30,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,10,373.23775948083227,250
1260,12,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,9.5,119.26487394969786,250
803,15,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,11.9,766.0133311948574,250
326,28,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,14.25,109.07050439277319,250
735,13,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,13.9,663.9094748921857,250
289,22,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,11.85,648.568574777729,250
174,12,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,7.05,823.52803197063065,250
491,5,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,11.35,642.8258336943046,250
420,3,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,9.8000000000000007,718.0950228005989,250
275,20,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,12.7,481.955593043345,250
1227,10,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,8.65,345.23326760435407,250
1060,37,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,17.8,107.51213033852726,250
138,8,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,14.35,568.4876362405367,250
867,18,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,13.65,291.78354913950886,250
1141,4,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,9.6,689.2937863150338,250
144,8,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,15.3,741.6753692946368,250
1168,6,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,12.9,170.44912842392048,250
952,22,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,12.15,854.0714804498497,250
426,3,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,19.399999999999999,543.7224633246357,250
262,19,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,17.7,541.252857771101,250
142,8,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,19.55,732.5494212320127,250
376,1,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,9.6,863.4162601580157,250
115,8,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,15.7,875.7092924341497,250
204,13,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,13.9,820.3627476866292,250
539,7,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,12.9,763.0389102008018,250
1268,15,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,9.4,395.82834787166877,250
661,10,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,18.850000000000001,847.2766472068616,250
1086,1,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,11.3,934.0210866021431,250
406,3,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,9.8000000000000007,908.4582678804711,250
942,21,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,12.75,255.68929277078,250
1134,4,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,760,10,0,240,0,0,0,0,0,0,8.8000000000000007,910.8743979916535,250
905,20,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,12.25,336.45661041148634,250
1068,37,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,700,20,10,270,0,0,0,0,0,0,11.1,310.05223674423144,250
228,16,-9.7,-9.2,-4.1,1.9,9.1,14.3,16.2,14.3,9,3.9,-1.7,-6.8,570,680,10,10,300,0,0,0,0,0,0,5.05,749.1928447938498,250
